S.  No,Sector/Industry,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
,2.  Manufacturing ( i+ii+iii),1405601.9201351926,1555622.8579714764,1622115.6917492812,1742266.9406378907,2026951.3983467186,2345749.713263557,2590683.410284645,2799583.810896689,2971396.2818027562,2854407.39817217,2903662.82214336,2979531.278193009,3039515.546032922,3202692.388704573,3387283.184058273,3526713.954753006,3668778.0000000005,3847353,4119706,4305977,3970245.9999999995,4388024,4864350,4608423,4748113,4841123
,     i)    Large Scale,1117699.3944698432,1249416.9111191374,1296092.0932678594,1395022.8731692457,1658121.0024425369,1955447.148052523,2167420.4511235133,2353825.5521897804,2495527.8135779398,2344422.617860837,2356726.32865439,2393526.712073028,2413881.8704137495,2529946.752046176,2667136.07941995,2755731.919621504,2841708.7218924635,2957914.3844979987,3162575.935767959,3274235.3016279317,2906578.340557982,3240794,3626559,3269760,3300543.755670657,3277708.9620311665
,     ii)   Small Scale,142702.32870222634,153442.11863594223,165242.56094517736,177630.3581903637,190466.455638291,203591.96190415992,224339.39566132321,239309.23050943762,259130.86036474732,281418.34526737477,306028.02375958016,332119.40071143775,358818.47716990666,390062.3584107546,422385.10848163825,457082.4277703146,494948.6752457114,538400.8238578343,585867.4341545416,638625.5498881092,647374.3335043645,705485,768249,838794,914696.6673102675,996220.7454624193
,     iii)  Slaughtering,145200.19696312293,152763.82821639662,160781.03753624437,169613.70927828143,178363.94026589068,186710.60330687417,198923.56349980854,206449.02819747082,216737.60786006926,228566.43504395825,240908.46972939023,253885.1654085433,266815.1984492657,282683.2782476421,297761.9961566848,313899.6073611872,332120.60286182526,351037.79164416716,371262.6300774996,393116.1484839594,416293.3259376531,441745,469542,499869,532872.5770190756,567193.2925064141
,"3   Electricity, Gas and Water supply",478550.8477831102,459445.9583326588,419778.2824871841,427573.71001640963,566769.0062991406,546559.6758835021,343289.0538418584,328487.42037590186,431750.0974401486,407180.9812385094,473964.34522618866,707873.6142469347,717927.8085227308,566094.5682160937,573706.1187597164,635857.7418711089,681030,690618,745548,786907,814703,888101,926804,1016276,833479,1075699
,4.  Construction,373025.4513879869,394615.24624775746,392687.050658226,407957.45683025825,409314.2143800682,494742.97159658076,555721.5051127288,625121.7878518006,708716.6092295954,661204.5145768884,709254.2674491348,652719.1155671157,666880.9217581201,702875.678606419,725280.7671826831,785698.2184633325,898569,990220,1183792,969000,939174,961644,979221,878866,866779,923490.1623503012
,Commodity Producing Activities (A+B),7662544.834026898,7834185.230163412,7949749.700206355,8317243.985286759,9005663.598275153,9697427.078367416,9934979.171910813,10433761.702631224,10863499.898399327,10878252.645975683,11076583.896463491,11478517.478222746,11805162.667768912,12076015.85655919,12465822.822544094,12880092.820865069,13246592,13682195,14542296,14631971,14547827,15359479,16200230,16108777,16612547,17127398.1623503
C,Services ( 1 to 10),8144531.956064846,8547928.876415152,8862106.969678761,9363312.202152452,10034672.00916451,10865657.153900098,11792773.555560365,12404421.68099576,12989820.141869415,13228661.827098493,13576232.054795241,13964279.288149476,14450865.748901926,15192532.89558807,15772481.370507456,16434535.675899675,17261613,18232012,19317324,20284070,20038838,21223003,22643030,22651994,23161955.252,23863272.3014816
,1.  Wholesale & Retail trade,2786055.1188090025,2921617.6249690307,2973256.1666935734,3139553.2011622945,3455772.6322558015,3907320.518531649,4235836.0592364175,4452654.013774632,4652221.173536317,4517382.030750015,4569429.027556079,4638731.531973679,4684891.532740144,4839816.543467715,5054009.603406964,5172213.263551987,5380330,5727275,6114661,6331734,5998707,6647199,7325882,7034557,7267093,7296612
,2. Transportation & Storage,1762191.9573492915,1869521.6290766085,1900431.5479054775,2000901.9669597733,2090111.180988202,2195466.4290567115,2306455.1788789113,2489833.1768474514,2539136.8018967966,2714827.006437583,2791665.4187766137,2865093.1582966344,2907973.693854834,3059426.4404167384,3192742.984265607,3354065.366915806,3448607,3589252,3707938,3990773,3634152,3811190,3980936,4132065,4200059,4314883
,3. Accommodation and Food Services Activities (Hotels & Restaurants),148300.9850065377,163156.7209503385,179521.475801366,197483.86545280647,217166.18102605958,238769.28221883668,262944.9615070845,275533.3675918046,289208.5149049948,303642.18819219706,318786.71042125626,334725.2353996946,350967.0239341231,368513.07082446566,386659.85889765335,405595.637396429,425666,442789,460952,479936,499522,520024,541222,563348,586418.252,610325.3014815999
,4. Information and Communication,101149.68120919385,102656.08804426112,105235.42770282892,112675.452173825,139920.10353693285,177497.96387635608,240240.37871277818,298902.39877439424,391100.5015887653,455063.0769603066,448252.469720479,440763.3730766922,513329.32236286235,538781.325347695,528909.2177928183,570757.7825813596,610952,675174,703443,763216,868338,953818,1125119,1118252,1166286,1248041
,5.  Financial and Insurance Activities,228779.9687651963,253572.02696121574,266571.10797760123,283228.168189602,317470.96485215466,381983.747731542,439568.2553564693,474187.80934566585,523939.8428117775,495489.1470316169,461583.39950526506,434421.2456305112,431636.7613641383,461758.9615123448,478651.274504145,504668.9026742651,530185,573828,624079,662149,647435,682988,730220,658921,575039,611070
,6.  Real Estate Activities (OD),950329.4728177964,985934.0751655002,1020427.2019879137,1052954.031166552,1089218.8810885183,1125966.7915792821,1167041.1044227472,1211486.3634519738,1258790.2001461957,1309316.0142664916,1361721.273920673,1417680.944786389,1468631.6695464985,1533340.103579194,1593526.0614190623,1657448.6934878067,1735453,1798794,1863846,1932853,2006873,2080095,2156942,2237142,2320700,2407856
,7.  Public Administration and Social Security (General Government),774210.6241111148,786887.5813978703,838038.1797534663,889990.705531264,941656.957408339,990794.7846659798,1085282.8313222409,1065491.1847894737,1070320.0791519263,959589.5961387597,1039458.255720283,1117537.124774192,1254956.7229813468,1380048.7699026926,1261099.4850409534,1359824.1850094302,1458465,1547990,1717130,1776775,1830153,1820093,1853122,1722958,1602278,1742005
